age,poverty_ratio,bmi,height_cm,gender_Male,ethnicity_Non-Hispanic Asian,ethnicity_Non-Hispanic Black,ethnicity_Non-Hispanic White,ethnicity_Other Hispanic,ethnicity_Other/Multi-Racial,education_College graduate+,education_High school/GED,education_Some college,marital_status_Living with partner,marital_status_Married,marital_status_Never married,marital_status_Widowed,bmi_category_Obese,bmi_category_Overweight,age_group_45-59,age_group_60-74,age_group_75+
-0.2740914455845837,1.001048734840506,-0.6744562283365944,-0.0395626354550581,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1.4268006008174314,1.531085030890159,0.1606997002137254,-1.997964681682993,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1
0.576354577616424,1.531085030890159,-0.3184881276430153,0.0206958890442651,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
0.4062653729762224,-0.4269314039285591,-0.2500327236634809,0.6835396585367963,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
-1.1245374687855914,0.2091121513310242,-0.4417078548061771,-0.2002520341199138,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0.8598365853500931,1.0883488306604487,1.2286040022944618,1.4568573896114156,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
0.2928725698827547,-0.2585669334186695,1.735173991743017,-1.6163273598539585,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1.653586207004367,0.0282762385611426,-0.7429116323161288,-1.2949485625242472,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
1.0866221915370284,-0.894610488678253,-0.263723804459388,0.8542721446182049,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
-0.9544482641453896,1.531085030890159,2.145906415620223,-0.5216308314496251,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0.6897473807098916,-0.065259578388796,-0.7702937939079425,0.7839705327023315,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
-0.6142698548649868,0.3961837852309019,1.3518237294576243,0.7036258333699023,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
-1.0111446656921237,-0.4830528940985225,1.735173991743017,1.1053493300320427,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0.5196581760696901,0.6892626783407099,1.8447026381102716,0.0106528016277093,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
-0.1040022409443822,1.531085030890159,0.0511710538464703,0.502764085038832,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0
-0.7276626579584544,-0.3209241447186287,-0.3869435316225497,-0.8731388910289979,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
0.6330509791631578,-1.206396545178049,0.0785532154382839,0.1914283751256737,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
0.8598365853500931,-0.9195533731982366,-0.8524402786833835,-0.5818893559489455,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
-1.351323074972527,0.4398338331408732,1.447661295028972,-0.3207690831185548,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
-0.160698642491116,1.531085030890159,-0.2500327236634809,1.2559956412803457,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
1.653586207004367,-0.1151453474287634,1.3107504870699032,-0.9333974155283185,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
-1.4647158780659943,-0.9507319788482164,0.7767983360295351,-1.0137421148607475,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
0.6897473807098916,1.531085030890159,-1.139952975397428,-0.8128803665296774,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1.0299257899902947,-0.295981260198645,-0.3321792084389224,-1.5259395731049763,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
0.6897473807098916,-0.7137745759083715,-0.5512365011734321,0.7638843578692227,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
-0.0473058393976483,-0.6327102012184245,-1.26317270256059,-1.0639575519435152,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
-0.3874842486780513,-0.963203421108208,-0.1131219157044121,-0.0194764606219494,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
0.3495689714294885,0.3525337373209303,2.2554350619874777,-0.3408552579516635,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
-0.4441806502247852,-0.9382605365882244,2.898915859395101,-0.3609414327847694,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.4062653729762224,0.4834838810508446,-0.5238543395816185,0.8743583194513137,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
-0.0473058393976483,-1.2126322663080449,0.598814285682746,-0.1299504222040375,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
-1.4647158780659943,0.5333696500908119,-0.688147309132501,-0.8229234539462303,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
-1.4080194765192606,-0.3645741926286001,0.2839194273768872,0.3119454241243147,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
-0.3874842486780513,1.531085030890159,-0.6744562283365944,0.3320315989574234,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
0.7464437822566254,-0.8447247196382858,-0.5512365011734321,0.5730656969547083,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0
-1.351323074972527,-1.5867755341077998,0.3934480737441428,-0.863095803612445,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1.653586207004367,0.2153478724610203,-0.3869435316225497,-0.5115877440330721,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
0.7464437822566254,-0.3022169813286408,-0.9619689250506386,0.2717730744581029,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
-0.3874842486780513,-0.8696676041582694,0.763107255233628,2.200045858436376,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
0.0660869636958193,-0.3396313081086164,-0.359561370030736,-0.3609414327847694,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
-1.237930271879059,-1.0816821225781306,0.2291551041932598,-0.2705536460357872,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
-0.160698642491116,-0.4581100095785387,-0.6744562283365944,0.95470301878374,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1.653586207004367,1.3689562815102652,0.420830235335956,-1.0338282896938535,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1
-0.7843590595051882,-1.1502750550080856,1.8310115573143653,-1.6364135346870643,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-1.4647158780659943,-1.0816821225781306,1.1875307599067415,-0.6823202301144806,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.0866221915370284,-0.8384889985082898,-0.0720486733166914,-1.2648193002745856,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
0.5196581760696901,-0.9257890943282324,0.6125053664786521,-0.3609414327847694,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
0.6897473807098916,-0.221152606638694,2.6387853242728707,-0.3308121705351077,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
0.3495689714294885,1.531085030890159,-0.345870289234829,0.844229057201652,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
1.3701041992706977,-0.3521027503686082,-0.1541951580921328,-1.9477492446002251,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
0.1227833652425531,-0.4892886152285184,0.7083429320500007,1.396598865112095,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
0.9732293884435608,-1.1814536606580652,0.7083429320500007,0.4625917353726174,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
-1.0111446656921237,-0.826017556248298,-0.4827810971938978,-0.1098642473709316,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0.4629617745229562,1.531085030890159,-0.9072046018670112,-0.8430096287793392,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
-0.2740914455845837,1.1631774842203997,-0.4827810971938978,0.6333242214540288,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0
-1.634805082706196,1.0883488306604487,-0.934586763458825,0.9848322810334016,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1.200014994630496,1.294127627950314,0.5029767201113975,1.0450908055327222,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
0.576354577616424,-0.9382605365882244,-1.4548478337032864,1.7782361869411296,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0.0093905621490854,-1.1627464972680774,-0.1268129965003192,-1.1643884261090502,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
-1.0678410672388574,-0.2710383756786614,-1.1947172985810557,1.1153924174485956,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
-1.0111446656921237,0.2153478724610203,-0.6470740667447803,0.8341859697850991,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
-0.6709662564117206,-1.0567392380581468,0.1606997002137254,0.1110836757932444,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
-0.7276626579584544,1.3814277237702566,0.2428461849891669,0.4525486479560645,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
1.0866221915370284,-0.7823675083383265,-0.4827810971938978,0.5529795221215996,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
1.653586207004367,-0.2772740968086571,0.2017729426014461,1.085263155198937,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
1.653586207004367,-0.1712668375987266,-0.6196919051529666,-1.415465611522888,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
-1.0111446656921237,1.531085030890159,-1.1125708138056143,-1.556068835354638,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1.4268006008174314,0.0282762385611426,0.8041804976213492,-1.3049916499408,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
-1.4080194765192606,-0.2336240488986858,-1.181026217785149,1.055133892949275,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1.653586207004367,-0.6888316913883877,-0.2089594812757602,-0.6019755307820542,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0.1227833652425531,-0.4705814518385306,-0.9893510866424522,-0.1299504222040375,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
0.179479766789287,-1.2687537564780085,0.7494161744377209,-2.2992573041795983,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1.25671139617723,1.4874349829801872,-0.2089594812757602,1.9389255856059853,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
